paper_id,filename,title,year,venue,subfield,keywords,importance,importance_reason,read_status,note_status,note_path,selected_on,last_reviewed_on,added_on,updated_on,file_size_mb
2020-denoising-diffusion-probabilistic-models,2020_Denoising diffusion probabilistic models.pdf,Denoising diffusion probabilistic models,2020,,Diffusion / Flow Models,diffusion-flow,5,foundational diffusion model,unread,,,,,2026-05-10,2026-05-29,9.79
2021-diffusion-models-beat-gans-on-image-synthesis,2021_Diffusion models beat gans on image synthesis_NIPS.pdf,Diffusion models beat gans on image synthesis,2021,NIPS,Diffusion / Flow Models,"diffusion-flow, text-to-image",5,important diffusion scaling result; top venue: NIPS,unread,generated,notes/2026-05-29_2021-diffusion-models-beat-gans-on-image-synthesis.md,2026-05-29,,2026-05-10,2026-05-29,2.82
2021-soundstream-an-end-to-end-neural-audio-codec,2021_SoundStream An End-to-End Neural Audio Codec.pdf,SoundStream An End-to-End Neural Audio Codec,2021,,Audio / Speech Generation,audio-speech,5,neural audio codec foundation,unread,,,,,2026-05-10,2026-05-29,0.66
2021-taming-transformers-for-high-resolution-image-synthesis,2021_Taming Transformers for High-Resolution Image Synthesis_CVPR.pdf,Taming Transformers for High-Resolution Image Synthesis,2021,CVPR,Text-to-Image Generation,text-to-image,5,VQGAN and transformer foundation,unread,,,,,2026-05-10,2026-05-29,48.17
2022-cogview2-faster-and-better-text-to-image-generation-via-hierarchical-transformer,2022_CogView2 Faster and Better Text-to-Image Generation via Hierarchical Transformers.pdf,CogView2 Faster and Better Text-to-Image Generation via Hierarchical Transformers,2022,,Text-to-Image Generation,text-to-image,5,large text-to-image transformer line,unread,generated,notes/2026-05-27_2022-cogview2-faster-and-better-text-to-image-generation-via-hierarchical-transformer.md,2026-05-27,,2026-05-10,2026-05-29,18.26
2022-high-resolution-image-synthesis-with-latent-diffusion-models,2022_High-Resolution Image Synthesis with Latent Diffusion Models_CVPR.pdf,High-Resolution Image Synthesis with Latent Diffusion Models,2022,CVPR,Diffusion / Flow Models,"diffusion-flow, text-to-image",5,latent diffusion foundation,unread,generated,notes/2026-05-28_2022-high-resolution-image-synthesis-with-latent-diffusion-models.md,2026-05-28,,2026-05-10,2026-05-29,38.95
2024-enhancing-motion-in-text-to-video-generation-with-decomposed-encoding-and-condit,2024_Enhancing Motion in Text-to-Video Generation with Decomposed Encoding and Conditioning_NeurIPS.pdf,Enhancing Motion in Text-to-Video Generation with Decomposed Encoding and Conditioning,2024,NEURIPS,Video Generation,text-to-video,5,top venue: NEURIPS; recent video-generation work,unread,generated,notes/2026-05-21_2024-enhancing-motion-in-text-to-video-generation-with-decomposed-encoding-and-condit.md,2026-05-21,,2026-05-10,2026-05-29,46.41
2024-fifo-diffusion-generating-infinite-videos-from-text-without-training,2024_FIFO-Diffusion Generating Infinite Videos from Text without Training_NeurIPS.pdf,FIFO-Diffusion Generating Infinite Videos from Text without Training,2024,NEURIPS,Long Video Generation,"diffusion-flow, long-video",5,top venue: NEURIPS; recent video-generation work,unread,generated,notes/2026-05-22_2024-fifo-diffusion-generating-infinite-videos-from-text-without-training.md,2026-05-22,,2026-05-10,2026-05-29,19.55
2024-freenoise-tuning-free-longer-video-diffusion-via-noise-rescheduling,2024_FreeNoise Tuning-Free Longer Video Diffusion via Noise Rescheduling_ICLR.pdf,FreeNoise Tuning-Free Longer Video Diffusion via Noise Rescheduling,2024,ICLR,Long Video Generation,"diffusion-flow, long-video",5,top venue: ICLR; recent video-generation work,unread,generated,notes/2026-05-23_2024-freenoise-tuning-free-longer-video-diffusion-via-noise-rescheduling.md,2026-05-23,,2026-05-10,2026-05-29,9.08
2024-hunyuanvideo-a-systematic-framework-for-large-video-generative-models,2024_HunyuanVideo A Systematic Framework For Large Video Generative Models.pdf,HunyuanVideo A Systematic Framework For Large Video Generative Models,2024,,Video Generation,text-to-video,5,major video generation system; recent video-generation work,unread,generated,notes/2026-05-23_2024-hunyuanvideo-a-systematic-framework-for-large-video-generative-models.md,2026-05-23,,2026-05-15,2026-05-29,47.85
2024-mevg-multi-event-video-generation-with-text-to-video-models,2024_MEVG_Multi-event Video Generation with Text-to-Video Models_ECCV.pdf,MEVG Multi-event Video Generation with Text-to-Video Models,2024,ECCV,Video Generation,text-to-video,5,top venue: ECCV; recent video-generation work,unread,generated,notes/2026-05-24_2024-mevg-multi-event-video-generation-with-text-to-video-models.md,2026-05-24,,2026-05-10,2026-05-29,22.87
2024-miradata-a-large-scale-video-dataset-with-long-durations-and-structured-captions,2024_MiraData_A Large-Scale Video Dataset with Long Durations and Structured Captions_NeurIPS.pdf,MiraData A Large-Scale Video Dataset with Long Durations and Structured Captions,2024,NEURIPS,Dataset / Data Curation,dataset,5,top venue: NEURIPS; useful as overview/evaluation/data reference,unread,generated,notes/2026-05-25_2024-miradata-a-large-scale-video-dataset-with-long-durations-and-structured-captions.md,2026-05-25,,2026-05-10,2026-05-29,6.80
2024-sana-efficient-high-resolution-image-synthesis-with-linear-diffusion-transformer,2024_SANA Efficient High-Resolution Image Synthesis with Linear Diffusion Transformers.pdf,SANA Efficient High-Resolution Image Synthesis with Linear Diffusion Transformers,2024,,Diffusion / Flow Models,"diffusion-flow, text-to-image",5,efficient high-resolution T2I system,unread,generated,notes/2026-05-26_2024-sana-efficient-high-resolution-image-synthesis-with-linear-diffusion-transformer.md,2026-05-26,,2026-05-10,2026-05-29,7.99
